taxid,parent,taxonomic_rank,scientific_name
taxon:57866 [Percina maculata]@species,taxon:1070159 [Alvordius]@subgenus,species,Percina maculata
taxon:201342 [Malacopteron]@genus,taxon:9173 [Timaliidae]@family,genus,Malacopteron
taxon:50733 [Astronotus ocellatus]@species,taxon:50732 [Astronotus]@genus,species,Astronotus ocellatus
taxon:44313 [Manorina]@genus,taxon:9146 [Meliphagidae]@family,genus,Manorina
taxon:51903 [Deroptyus]@genus,taxon:9224 [Psittacidae]@family,genus,Deroptyus
taxon:266388 [Xanthotis]@genus,taxon:9146 [Meliphagidae]@family,genus,Xanthotis
taxon:8968 [Haliaeetus]@genus,taxon:8955 [Accipitrinae]@subfamily,genus,Haliaeetus
taxon:39621 [Acrocephalus arundinaceus]@species,taxon:39620 [Acrocephalus]@genus,species,Acrocephalus arundinaceus
taxon:181117 [Prunella modularis]@species,taxon:175132 [Prunella]@genus,species,Prunella modularis
taxon:73326 [Aegithalos]@genus,taxon:73325 [Aegithalidae]@family,genus,Aegithalos
taxon:255460 [Etheostoma asprigene]@species,taxon:909696 [Oligocephalus]@subgenus,species,Etheostoma asprigene
taxon:88112 [Alauda arvensis]@species,taxon:88111 [Alauda]@genus,species,Alauda arvensis
taxon:315362 [Celeus elegans]@species,taxon:315361 [Celeus]@genus,species,Celeus elegans
taxon:266363 [Lichmera indistincta]@species,taxon:266361 [Lichmera]@genus,species,Lichmera indistincta
taxon:13180 [Nymphicus hollandicus]@species,taxon:13179 [Nymphicus]@genus,species,Nymphicus hollandicus
taxon:115657 [Leptotila rufaxilla]@species,taxon:115655 [Leptotila]@genus,species,Leptotila rufaxilla
taxon:160719 [Hyporthodus flavolimbatus]@species,taxon:1208316 [Hyporthodus]@genus,species,Hyporthodus flavolimbatus
taxon:670927 [Chalcomitra senegalensis]@species,taxon:570429 [Chalcomitra]@genus,species,Chalcomitra senegalensis
taxon:669498 [Ramphastos ambiguus ambiguus]@subspecies,taxon:322579 [Ramphastos ambiguus]@species,subspecies,Ramphastos ambiguus ambiguus
taxon:258802 [Pernis ptilorhynchus]@species,taxon:43550 [Pernis]@genus,species,Pernis ptilorhynchus
taxon:61467 [Manorina melanophrys]@species,taxon:44313 [Manorina]@genus,species,Manorina melanophrys
taxon:30396 [Buteo]@genus,taxon:8955 [Accipitrinae]@subfamily,genus,Buteo
taxon:2646066 [unclassified Engyprosopon]@no rank,taxon:195606 [Engyprosopon]@genus,no rank,unclassified Engyprosopon
taxon:150320 [Butis koilomatodon]@species,taxon:86225 [Butis]@genus,species,Butis koilomatodon
taxon:327831 [Cephalopholis polleni]@species,taxon:91742 [Cephalopholis]@genus,species,Cephalopholis polleni
taxon:37612 [Viduinae]@subfamily,taxon:37611 [Estrildidae]@family,subfamily,Viduinae
taxon:327824 [Suttonia sp. UKNHM-BRC T805]@species,taxon:2677814 [unclassified Suttonia]@no rank,species,Suttonia sp. UKNHM-BRC T805
taxon:150292 [Butis butis]@species,taxon:86225 [Butis]@genus,species,Butis butis
taxon:185883 [Pterois miles]@species,taxon:185881 [Pterois]@genus,species,Pterois miles
taxon:867385 [Psittacara brevipes]@species,taxon:1664462 [Psittacara]@genus,species,Psittacara brevipes
taxon:266354 [Epthianura tricolor]@species,taxon:266350 [Epthianura]@genus,species,Epthianura tricolor
taxon:2645147 [unclassified Philypnodon]@no rank,taxon:150316 [Philypnodon]@genus,no rank,unclassified Philypnodon
taxon:266381 [Timeliopsis]@genus,taxon:9146 [Meliphagidae]@family,genus,Timeliopsis
taxon:94235 [Mastacembelus sp.]@species,taxon:2631391 [unclassified Mastacembelus]@no rank,species,Mastacembelus sp.
taxon:2591251 [Heterotilapia buettikoferi]@species,taxon:1315714 [Heterotilapia]@genus,species,Heterotilapia buettikoferi
taxon:117185 [Acanthiza apicalis]@species,taxon:108820 [Acanthiza]@genus,species,Acanthiza apicalis
taxon:327829 [Epinephelus retouti]@species,taxon:94231 [Epinephelus]@genus,species,Epinephelus retouti
taxon:1070162 [Hypohomus]@subgenus,taxon:54316 [Percina]@genus,subgenus,Hypohomus
taxon:211877 [Bolborhynchus lineola]@species,taxon:211876 [Bolborhynchus]@genus,species,Bolborhynchus lineola
taxon:986097 [Cacatua pastinator]@species,taxon:12981 [Cacatua]@genus,species,Cacatua pastinator
taxon:228352 [Malurus lamberti]@species,taxon:55806 [Malurus]@genus,species,Malurus lamberti
taxon:108843 [Philemon]@genus,taxon:9146 [Meliphagidae]@family,genus,Philemon
taxon:327769 [Hyporthodus exsul]@species,taxon:1208316 [Hyporthodus]@genus,species,Hyporthodus exsul
taxon:129043 [Cololabis saira]@species,taxon:129042 [Cololabis]@genus,species,Cololabis saira
taxon:163808 [Percina aurantiaca]@species,taxon:1070162 [Hypohomus]@subgenus,species,Percina aurantiaca
taxon:266393 [Stipiturus mallee]@species,taxon:266392 [Stipiturus]@genus,species,Stipiturus mallee
taxon:51355 [Colaptes auratus]@species,taxon:9221 [Colaptes]@genus,species,Colaptes auratus
taxon:266324 [Myzomela rosenbergii]@species,taxon:108837 [Myzomela]@genus,species,Myzomela rosenbergii
taxon:1772090 [Lycodopsis]@genus,taxon:561516 [Lycodinae]@subfamily,genus,Lycodopsis
taxon:266378 [Ramsayornis]@genus,taxon:9146 [Meliphagidae]@family,genus,Ramsayornis
taxon:570451 [Hedydipna collaris]@species,taxon:570450 [Hedydipna]@genus,species,Hedydipna collaris
taxon:2677559 [unclassified Lasiognathus]@no rank,taxon:412643 [Lasiognathus]@genus,no rank,unclassified Lasiognathus
taxon:371914 [Ictinia mississippiensis]@species,taxon:321099 [Ictinia]@genus,species,Ictinia mississippiensis
taxon:57790 [Dictyosoma burgeri]@species,taxon:57789 [Dictyosoma]@genus,species,Dictyosoma burgeri
taxon:327943 [Epinephelus miliaris]@species,taxon:94231 [Epinephelus]@genus,species,Epinephelus miliaris
taxon:84804 [Icterus]@genus,taxon:164646 [Icteridae]@family,genus,Icterus
taxon:44316 [Chloebia gouldiae]@species,taxon:187421 [Chloebia]@genus,species,Chloebia gouldiae
taxon:46478 [Aerodramus fuciphagus]@species,taxon:46474 [Aerodramus]@genus,species,Aerodramus fuciphagus
taxon:880807 [Colaptes auricularis]@species,taxon:9221 [Colaptes]@genus,species,Colaptes auricularis
taxon:143345 [Kareius bicoloratus]@species,taxon:468930 [Kareius]@genus,species,Kareius bicoloratus
taxon:3151048 [Rhabdotorrhinus waldeni]@species,taxon:3150778 [Rhabdotorrhinus]@genus,species,Rhabdotorrhinus waldeni
taxon:308564 [Epinephelus quoyans]@species,taxon:94231 [Epinephelus]@genus,species,Epinephelus quoyans
taxon:54267 [Fundulus diaphanus]@species,taxon:8077 [Fundulus]@genus,species,Fundulus diaphanus
taxon:428845 [Epinephelus stictus]@species,taxon:94231 [Epinephelus]@genus,species,Epinephelus stictus
taxon:315379 [Piculus chrysochloros]@species,taxon:51360 [Piculus]@genus,species,Piculus chrysochloros
taxon:195619 [Laeops kitaharae]@species,taxon:195618 [Laeops]@genus,species,Laeops kitaharae
taxon:135426 [Dicaeum]@genus,taxon:667167 [Dicaeidae]@family,genus,Dicaeum
taxon:429467 [Nannopsittaca]@genus,taxon:9224 [Psittacidae]@family,genus,Nannopsittaca
taxon:8963 [Circus]@genus,taxon:8955 [Accipitrinae]@subfamily,genus,Circus
taxon:187442 [Gymnoris dentata]@species,taxon:1405429 [Gymnoris]@genus,species,Gymnoris dentata
taxon:54344 [Etheostoma stigmaeum]@species,taxon:909706 [Doration]@subgenus,species,Etheostoma stigmaeum
taxon:187425 [Corvinella corvina]@species,taxon:187424 [Corvinella]@genus,species,Corvinella corvina
taxon:135634 [Streptopelia capicola]@species,taxon:36242 [Streptopelia]@genus,species,Streptopelia capicola
taxon:32506 [Neolamprologus]@genus,taxon:319069 [Lamprologini]@tribe,genus,Neolamprologus
taxon:1070164 [Hadropterus]@subgenus,taxon:54316 [Percina]@genus,subgenus,Hadropterus
taxon:266355 [Foulehaio]@genus,taxon:9146 [Meliphagidae]@family,genus,Foulehaio
taxon:98149 [Stachyris]@genus,taxon:9173 [Timaliidae]@family,genus,Stachyris
taxon:195631 [Plagiopsetta glossa]@species,taxon:195630 [Plagiopsetta]@genus,species,Plagiopsetta glossa
taxon:8200 [Lycodichthys]@genus,taxon:561516 [Lycodinae]@subfamily,genus,Lycodichthys
taxon:270527 [Solenostomus cyanopterus]@species,taxon:270526 [Solenostomus]@genus,species,Solenostomus cyanopterus
taxon:303325 [Triclaria]@genus,taxon:9224 [Psittacidae]@family,genus,Triclaria
taxon:187415 [Amblyospiza albifrons]@species,taxon:187414 [Amblyospiza]@genus,species,Amblyospiza albifrons
taxon:182886 [Alophoixus ochraceus]@species,taxon:147056 [Alophoixus]@genus,species,Alophoixus ochraceus
taxon:98139 [Oriolus]@genus,taxon:28725 [Corvidae]@family,genus,Oriolus
taxon:592668 [Tiaris olivaceus]@species,taxon:93067 [Tiaris]@genus,species,Tiaris olivaceus
taxon:54319 [Etheostoma caeruleum]@species,taxon:909696 [Oligocephalus]@subgenus,species,Etheostoma caeruleum
taxon:181471 [Apodichthyinae]@subfamily,taxon:56724 [Pholidae]@family,subfamily,Apodichthyinae
taxon:400781 [Emberizini]@tribe,taxon:62155 [Emberizinae]@subfamily,tribe,Emberizini
taxon:266329 [Philemon meyeri]@species,taxon:108843 [Philemon]@genus,species,Philemon meyeri
taxon:8965 [Gyps]@genus,taxon:8955 [Accipitrinae]@subfamily,genus,Gyps
taxon:160720 [Epinephelus guttatus]@species,taxon:94231 [Epinephelus]@genus,species,Epinephelus guttatus
taxon:123371 [Tachyoryctes sp.]@species,taxon:2618128 [unclassified Tachyoryctes]@no rank,species,Tachyoryctes sp.
taxon:208072 [Hylia]@genus,taxon:330750 [Acrocephalinae]@subfamily,genus,Hylia
taxon:2021860 [Peucaea cassinii]@species,taxon:1125616 [Peucaea]@genus,species,Peucaea cassinii
taxon:266332 [Gerygone chrysogaster]@species,taxon:117202 [Gerygone]@genus,species,Gerygone chrysogaster
taxon:2869453 [Morphnarchus]@genus,taxon:8955 [Accipitrinae]@subfamily,genus,Morphnarchus
taxon:2821653 [Gliciphila]@genus,taxon:9146 [Meliphagidae]@family,genus,Gliciphila
taxon:341732 [Paraplagusia]@genus,taxon:603456 [Cynoglossinae]@subfamily,genus,Paraplagusia
taxon:201366 [Timalia]@genus,taxon:9173 [Timaliidae]@family,genus,Timalia
taxon:190679 [Chamaea]@genus,taxon:2927229 [Sylviidae incertae sedis]@no rank,genus,Chamaea
taxon:327777 [Epinephelus ongus]@species,taxon:94231 [Epinephelus]@genus,species,Epinephelus ongus
taxon:181459 [Aptocyclus ventricosus]@species,taxon:181458 [Aptocyclus]@genus,species,Aptocyclus ventricosus
taxon:341728 [Cynoglossus abbreviatus]@species,taxon:106173 [Cynoglossus]@genus,species,Cynoglossus abbreviatus
taxon:117495 [Gerygone mouki]@species,taxon:117202 [Gerygone]@genus,species,Gerygone mouki
taxon:91961 [Etheostoma oophylax]@species,taxon:909707 [Catonotus]@subgenus,species,Etheostoma oophylax
taxon:201343 [Malacopteron cinereum]@species,taxon:201342 [Malacopteron]@genus,species,Malacopteron cinereum
taxon:412644 [Lasiognathus sp. NMMBP 9030]@species,taxon:2677559 [unclassified Lasiognathus]@no rank,species,Lasiognathus sp. NMMBP 9030
taxon:266364 [Melilestes]@genus,taxon:9146 [Meliphagidae]@family,genus,Melilestes
taxon:178889 [Orthopsittaca]@genus,taxon:9224 [Psittacidae]@family,genus,Orthopsittaca
taxon:187413 [Amandava subflava]@species,taxon:187412 [Amandava]@genus,species,Amandava subflava
taxon:56324 [Lanius collurio]@species,taxon:28712 [Lanius]@genus,species,Lanius collurio
taxon:60461 [Agapornis]@genus,taxon:9224 [Psittacidae]@family,genus,Agapornis
taxon:194941 [Catamblyrhynchus diadema]@species,taxon:194940 [Catamblyrhynchus]@genus,species,Catamblyrhynchus diadema
taxon:187438 [Ortygospiza]@genus,taxon:37611 [Estrildidae]@family,genus,Ortygospiza
taxon:143332 [Exocoetus volitans]@species,taxon:143331 [Exocoetus]@genus,species,Exocoetus volitans
taxon:56085 [Campephilus haematogaster]@species,taxon:56084 [Campephilus]@genus,species,Campephilus haematogaster
taxon:319057 [Tropheini]@tribe,taxon:318546 [Pseudocrenilabrinae]@subfamily,tribe,Tropheini
taxon:147060 [Tricholestes criniger]@species,taxon:147059 [Tricholestes]@genus,species,Tricholestes criniger
taxon:321134 [Harpyhaliaetus coronatus]@species,taxon:321133 [Harpyhaliaetus]@genus,species,Harpyhaliaetus coronatus
taxon:59728 [Taeniopygia]@genus,taxon:40155 [Estrildinae]@subfamily,genus,Taeniopygia
taxon:321100 [Ictinia plumbea]@species,taxon:321099 [Ictinia]@genus,species,Ictinia plumbea
taxon:345747 [Leucopternis lacernulatus]@species,taxon:321092 [Leucopternis]@genus,species,Leucopternis lacernulatus
taxon:57410 [Colius colius]@species,taxon:57409 [Colius]@genus,species,Colius colius
taxon:160713 [Epinephelus adscensionis]@species,taxon:94231 [Epinephelus]@genus,species,Epinephelus adscensionis
taxon:150448 [Aulostomus chinensis]@species,taxon:150447 [Aulostomus]@genus,species,Aulostomus chinensis
taxon:444147 [Ptilinopus pulchellus]@species,taxon:115696 [Ptilinopus]@genus,species,Ptilinopus pulchellus
taxon:201308 [Gampsorhynchus rufulus]@species,taxon:201307 [Gampsorhynchus]@genus,species,Gampsorhynchus rufulus
taxon:195649 [Syacium papillosum]@species,taxon:195648 [Syacium]@genus,species,Syacium papillosum
taxon:78195 [Mogurnda adspersa]@species,taxon:78194 [Mogurnda]@genus,species,Mogurnda adspersa
taxon:115590 [Claravis pretiosa]@species,taxon:115589 [Claravis]@genus,species,Claravis pretiosa
taxon:51905 [Guaruba]@genus,taxon:9224 [Psittacidae]@family,genus,Guaruba
taxon:335098 [Falco columbarius insignis]@subspecies,taxon:8953 [Falco columbarius]@species,subspecies,Falco columbarius insignis
taxon:150294 [Butis sp. HYW-2001]@species,taxon:2637395 [unclassified Butis]@no rank,species,Butis sp. HYW-2001
taxon:880806 [Colaptes fernandinae]@species,taxon:9221 [Colaptes]@genus,species,Colaptes fernandinae
taxon:266379 [Ramsayornis fasciatus]@species,taxon:266378 [Ramsayornis]@genus,species,Ramsayornis fasciatus
taxon:69956 [Forpus]@genus,taxon:9224 [Psittacidae]@family,genus,Forpus
taxon:492513 [Eupsittula pertinax]@species,taxon:1548947 [Eupsittula]@genus,species,Eupsittula pertinax
taxon:208081 [Parmoptila]@genus,taxon:37611 [Estrildidae]@family,genus,Parmoptila
taxon:51898 [Eupsittula aurea]@species,taxon:1548947 [Eupsittula]@genus,species,Eupsittula aurea
taxon:195607 [Engyprosopon sp. BD-2002]@species,taxon:2646066 [unclassified Engyprosopon]@no rank,species,Engyprosopon sp. BD-2002
taxon:327804 [Epinephelus andersoni]@species,taxon:94231 [Epinephelus]@genus,species,Epinephelus andersoni
