taxid,parent,taxonomic_rank,scientific_name
taxon:1 [root]@no rank,taxon:1 [root]@no rank,no rank,root
taxon:131567 [cellular organisms]@no rank,taxon:1 [root]@no rank,no rank,cellular organisms
taxon:2759 [Eukaryota]@superkingdom,taxon:131567 [cellular organisms]@no rank,superkingdom,Eukaryota
taxon:33090 [Viridiplantae]@kingdom,taxon:2759 [Eukaryota]@superkingdom,kingdom,Viridiplantae
taxon:35493 [Streptophyta]@phylum,taxon:33090 [Viridiplantae]@kingdom,phylum,Streptophyta
taxon:131221 [Streptophytina]@subphylum,taxon:35493 [Streptophyta]@phylum,subphylum,Streptophytina
taxon:3193 [Embryophyta]@clade,taxon:131221 [Streptophytina]@subphylum,clade,Embryophyta
taxon:58023 [Tracheophyta]@clade,taxon:3193 [Embryophyta]@clade,clade,Tracheophyta
taxon:78536 [Euphyllophyta]@clade,taxon:58023 [Tracheophyta]@clade,clade,Euphyllophyta
taxon:58024 [Spermatophyta]@clade,taxon:78536 [Euphyllophyta]@clade,clade,Spermatophyta
taxon:3398 [Magnoliopsida]@class,taxon:58024 [Spermatophyta]@clade,class,Magnoliopsida
taxon:1437183 [Mesangiospermae]@clade,taxon:3398 [Magnoliopsida]@class,clade,Mesangiospermae
taxon:71240 [eudicotyledons]@clade,taxon:1437183 [Mesangiospermae]@clade,clade,eudicotyledons
taxon:91827 [Gunneridae]@clade,taxon:71240 [eudicotyledons]@clade,clade,Gunneridae
taxon:1437201 [Pentapetalae]@clade,taxon:91827 [Gunneridae]@clade,clade,Pentapetalae
taxon:71275 [rosids]@clade,taxon:1437201 [Pentapetalae]@clade,clade,rosids
taxon:91835 [fabids]@clade,taxon:71275 [rosids]@clade,clade,fabids
taxon:3502 [Fagales]@order,taxon:91835 [fabids]@clade,order,Fagales
taxon:3514 [Betulaceae]@family,taxon:3502 [Fagales]@order,family,Betulaceae
taxon:3504 [Betula]@genus,taxon:3514 [Betulaceae]@family,genus,Betula
taxon:361421 [Betula middendorffii]@species,taxon:3504 [Betula]@genus,species,Betula middendorffii
taxon:1603696 [Betula austrosinensis]@species,taxon:3504 [Betula]@genus,species,Betula austrosinensis
taxon:216993 [Betula fruticosa]@species,taxon:3504 [Betula]@genus,species,Betula fruticosa
taxon:361422 [Betula ovalifolia]@species,taxon:3504 [Betula]@genus,species,Betula ovalifolia
taxon:253223 [Betula uber]@species,taxon:3504 [Betula]@genus,species,Betula uber
taxon:1685986 [Betula megrelica]@species,taxon:3504 [Betula]@genus,species,Betula megrelica
taxon:1685997 [Betula tianschanica]@species,taxon:3504 [Betula]@genus,species,Betula tianschanica
taxon:312792 [Betula raddeana]@species,taxon:3504 [Betula]@genus,species,Betula raddeana
taxon:1685980 [Betula bomiensis]@species,taxon:3504 [Betula]@genus,species,Betula bomiensis
taxon:253225 [Betula costata]@species,taxon:3504 [Betula]@genus,species,Betula costata
taxon:2233625 [unclassified Betula]@no rank,taxon:3504 [Betula]@genus,no rank,unclassified Betula
taxon:1685983 [Betula fargesii]@species,taxon:3504 [Betula]@genus,species,Betula fargesii
taxon:3084575 [Betula caerulea]@species,taxon:3504 [Betula]@genus,species,Betula caerulea
taxon:216987 [Betula neoalaskana]@species,taxon:3504 [Betula]@genus,species,Betula neoalaskana
taxon:3508 [Betula nigra]@species,taxon:3504 [Betula]@genus,species,Betula nigra
taxon:1677736 [Betula pubescens x Betula nana]@species,taxon:3504 [Betula]@genus,species,Betula pubescens x Betula nana
taxon:54070 [Betula sp.]@species,taxon:2233625 [unclassified Betula]@no rank,species,Betula sp.
taxon:1685989 [Betula x obscura]@species,taxon:3504 [Betula]@genus,species,Betula x obscura
taxon:1685982 [Betula cylindrostachya]@species,taxon:3504 [Betula]@genus,species,Betula cylindrostachya
taxon:312782 [Betula calcicola]@species,taxon:3504 [Betula]@genus,species,Betula calcicola
taxon:2920375 [Betula kweichowensis]@species,taxon:3504 [Betula]@genus,species,Betula kweichowensis
taxon:1539860 [Betula minor]@species,taxon:3504 [Betula]@genus,species,Betula minor
taxon:3084576 [Betula jarmolenkoana]@species,taxon:3504 [Betula]@genus,species,Betula jarmolenkoana
taxon:1685979 [Betula ashburneri]@species,taxon:3504 [Betula]@genus,species,Betula ashburneri
taxon:228163 [Betula utilis]@species,taxon:3504 [Betula]@genus,species,Betula utilis
taxon:2136400 [Betula rotundifolia]@species,taxon:3504 [Betula]@genus,species,Betula rotundifolia
taxon:211500 [Betula maximowicziana]@species,taxon:3504 [Betula]@genus,species,Betula maximowicziana
taxon:1686000 [Betula utilis subsp. occidentalis]@subspecies,taxon:228163 [Betula utilis]@species,subspecies,Betula utilis subsp. occidentalis
taxon:312784 [Betula chinensis]@species,taxon:3504 [Betula]@genus,species,Betula chinensis
taxon:482929 [Betula sp. CVM-2007]@species,taxon:2233625 [unclassified Betula]@no rank,species,Betula sp. CVM-2007
taxon:312785 [Betula corylifolia]@species,taxon:3504 [Betula]@genus,species,Betula corylifolia
taxon:21018 [Betula glandulosa]@species,taxon:3504 [Betula]@genus,species,Betula glandulosa
taxon:2914967 [Betula procurva]@species,taxon:3504 [Betula]@genus,species,Betula procurva
taxon:2233626 [Betula sp. HB-2018]@species,taxon:2233625 [unclassified Betula]@no rank,species,Betula sp. HB-2018
taxon:312790 [Betula medwediewii]@species,taxon:3504 [Betula]@genus,species,Betula medwediewii
taxon:312787 [Betula globispica]@species,taxon:3504 [Betula]@genus,species,Betula globispica
taxon:284673 [Betula alnoides]@species,taxon:3504 [Betula]@genus,species,Betula alnoides
taxon:312789 [Betula luminifera]@species,taxon:3504 [Betula]@genus,species,Betula luminifera
taxon:1685972 [Betula x caerulea]@species,taxon:3504 [Betula]@genus,species,Betula x caerulea
taxon:312781 [Betula apoiensis]@species,taxon:3504 [Betula]@genus,species,Betula apoiensis
taxon:1685932 [Betula x utahensis]@species,taxon:3504 [Betula]@genus,species,Betula x utahensis
taxon:2115954 [Betula x atrata]@species,taxon:3504 [Betula]@genus,species,Betula x atrata
